;batch_number;user_id;n_friends;batch_start_time;batch_end_time;batch_duratin;average_batch_duration;batch_start_fmt;batch_end_fmt;direction;missed_elements
0;0;5716;0;1603964810.996524;1603964846.3254964;35.3289725780487;35.3289725780487;2020-10-29 @ 15:46:50;2020-10-29 @ 15:47:26;;
1;0;3347;313;;;;;;;;
2;0;1784;262;;;;;;;;
3;0;5773;178;;;;;;;;
4;0;6591;67;;;;;;;;
5;0;6378;297;;;;;;;;
6;0;8958;181;;;;;;;;
7;0;4957;1003;;;;;;;;
8;0;9553;0;;;;;;;;
9;0;10145;75;;;;;;;;
10;0;9241;342;;;;;;;;
11;0;8851;1409;;;;;;;;
12;0;10922;152;;;;;;;;
13;0;10331;305;;;;;;;;
14;0;13823;0;;;;;;;;
15;0;11810;115;;;;;;;;
16;0;15205;0;;;;;;;;
17;0;15186;129;;;;;;;;
18;0;13938;221;;;;;;;;
19;0;14520;288;;;;;;;;
20;0;16112;63;;;;;;;;
21;0;16440;10;;;;;;;;
22;0;20191;0;;;;;;;;
23;0;16572;242;;;;;;;;
24;0;19439;176;;;;;;;;
25;0;19205;319;;;;;;;;
26;0;21562;0;;;;;;;;
27;0;20644;52;;;;;;;;
28;0;20217;150;;;;;;;;
29;0;22123;120;;;;;;;;
30;0;22766;169;;;;;;;;
31;0;23014;201;;;;;;;;
32;0;23232;533;;;;;;;;
33;0;23842;414;;;;;;;;
34;0;24275;445;;;;;;;;
35;0;24485;198;;;;;;;;
36;0;22382;1076;;;;;;;;
37;0;25874;0;;;;;;;;
38;0;25812;150;;;;;;;;
39;0;26489;105;;;;;;;;
40;0;26834;158;;;;;;;;
41;0;28274;186;;;;;;;;
42;0;29611;214;;;;;;;;
43;0;29047;287;;;;;;;;
44;0;30970;329;;;;;;;;
45;0;31005;102;;;;;;;;
46;0;31256;319;;;;;;;;
47;0;34779;0;;;;;;;;
48;0;31430;206;;;;;;;;
49;0;39070;0;;;;;;;;
50;0;40278;138;;;;;;;;
51;0;39019;164;;;;;;;;
52;0;41631;86;;;;;;;;
53;0;40762;305;;;;;;;;
54;0;42045;405;;;;;;;;
55;0;42189;216;;;;;;;;
56;0;43718;89;;;;;;;;
57;0;42889;614;;;;;;;;
58;0;44108;137;;;;;;;;
59;0;45348;227;;;;;;;;
60;0;45421;220;;;;;;;;
61;0;46495;124;;;;;;;;
62;0;48225;118;;;;;;;;
63;0;46821;204;;;;;;;;
64;0;50932;189;;;;;;;;
65;0;51925;121;;;;;;;;
66;0;53341;0;;;;;;;;
67;0;46445;1492;;;;;;;;
68;0;52392;245;;;;;;;;
69;0;53503;98;;;;;;;;
70;0;55032;190;;;;;;;;
71;0;56167;36;;;;;;;;
72;0;55909;226;;;;;;;;
73;0;28482;5000;;;;;;;;
74;0;57252;79;;;;;;;;
75;0;58586;18;;;;;;;;
76;0;59470;0;;;;;;;;
77;0;60575;48;;;;;;;;
78;0;59086;210;;;;;;;;
79;0;61443;53;;;;;;;;
80;0;63406;68;;;;;;;;
81;0;63527;0;;;;;;;;
82;0;63625;265;;;;;;;;
83;0;62113;966;;;;;;;;
84;0;67287;252;;;;;;;;
85;0;71995;0;;;;;;;;
86;0;69112;249;;;;;;;;
87;0;68927;458;;;;;;;;
88;0;74220;0;;;;;;;;
89;0;74243;0;;;;;;;;
90;0;73668;514;;;;;;;;
91;0;74792;0;;;;;;;;
